Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
"steerbot_footprint
",5.3193E-19,0,0.025,0,0,0,0.015708,3.6652E-06,0,-4.8966E-39,3.6652E-06,7.5888E-39,7.854E-07,0,0,0,0,0,0,"package://steerbot/meshes/steerbot_footprint
.STL",0.79216,0.81961,0.93333,1,0,0,0,0,0,0,"package://steerbot/meshes/steerbot_footprint
.STL",,零件2-2,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steerbot_chassis,1.2931,-0.00013502,1.2025,0,0,0,10212,5698.5,-6.4037,765.78,13145,4.5898,15481,0,0,0,0,0,0,package://steerbot/meshes/steerbot_chassis.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://steerbot/meshes/steerbot_chassis.STL,,车身4.12-1,坐标系chassis,,steerbot_footprint_joint,fixed,-1.4725,0.0014967,-1.2481,0,0,0,"steerbot_footprint
",0,0,0,,,,,,,,,,,,
front_left_strut,0,0.011266,0,0,0,0,5.8054,0.10756,-1.1929E-17,1.4284E-18,0.061438,-1.5445E-17,0.074472,0,0,0,0,0,0,package://steerbot/meshes/front_left_strut.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://steerbot/meshes/front_left_strut.STL,,转向-1,坐标系fls,Axis_front_left_steer_bearing,front_left_steer_bearing,continuous,3.2976,0.7175,0.43465,0,0,0,steerbot_chassis,0,0,1,,,,,,,,,,,,
front_left_wheel,-1.8533E-06,0.0037772,6.548E-06,0,0,0,153.21,9.1785,-6.2734E-06,9.3132E-05,16.054,8.2464E-07,9.1782,0,0,0,0,0,0,package://steerbot/meshes/front_left_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://steerbot/meshes/front_left_wheel.STL,,车轮-4,坐标系flw,Axis_front_left_wheel_bearing,front_left_wheel_bearing,continuous,0,0.2075,0,0,1.5708,0,front_left_strut,0,1,0,,,,,,,,,,,,
front_right_strut,2.2204E-16,-0.026266,0,0,0,0,5.8054,0.10756,-1.9742E-17,-1.0163E-17,0.061438,5.68E-18,0.074472,0,0,0,0,0,0,package://steerbot/meshes/front_right_strut.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://steerbot/meshes/front_right_strut.STL,,转向-3,坐标系frs,Axis_front_right_steer_bearing,front_right_steer_bearing,continuous,3.2976,-0.7025,0.43465,0,0,0,steerbot_chassis,0,0,-1,,,,,,,,,,,,
front_right_wheel,7.6362E-07,-0.0037772,-6.7623E-06,0,0,0,153.21,9.1785,5.4943E-06,4.9821E-05,16.054,3.1383E-06,9.1781,0,0,0,0,0,0,package://steerbot/meshes/front_right_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://steerbot/meshes/front_right_wheel.STL,,车轮-1,坐标系frw,"Axis_

front_right_wheel_bearing",front_right_wheel_bearing,continuous,0,-0.2225,0,0,0,0,front_right_strut,0,1,0,,,,,,,,,,,,
rear_left_strut,0,0.011266,-1.1102E-16,0,0,0,5.8054,0.10756,1.1815E-17,2.4185E-17,0.061438,-1.949E-17,0.074472,0,0,0,0,0,0,package://steerbot/meshes/rear_left_strut.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://steerbot/meshes/rear_left_strut.STL,,转向-2,坐标系rls,基准轴rls,rear_left_steer_bearing,continuous,-0.0024085,0.7175,0.43465,0,0,0,steerbot_chassis,0,0,1,,,,,,,,,,,,
rear_left_wheel,6.6078E-06,0.0037772,-1.6274E-06,0,0,0,153.21,9.1782,3.8192E-06,9.503E-05,16.054,5.0448E-06,9.1785,0,0,0,0,0,0,package://steerbot/meshes/rear_left_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://steerbot/meshes/rear_left_wheel.STL,,车轮-2,坐标系rlw,基准轴rlw,rear_left_wheel_bearing,continuous,0,0.2075,0,0,0,0,rear_left_strut,0,-1,0,,,,,,,,,,,,
rear_right_strut,0,-0.0112656017572059,1.11022302462516E-16,0,0,0,5.80539804282004,0.107558738443351,-7.21721687670723E-18,-4.26910515614008E-17,0.0614382677043571,1.35417775118135E-17,0.0744718907234814,0,0,0,0,0,0,package://steerbot/meshes/rear_right_strut.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://steerbot/meshes/rear_right_strut.STL,,转向-4,坐标系rrs,基准轴rrs,rear_right_steer_bearing,continuous,-0.0024085,-0.7175,0.43465,0,0,0,steerbot_chassis,0,0,-1,,,,,,,,,,,,
rear_right_wheel,0.06658,0.13372,-0.08236,0,0,0,153.21,9.1782,1.3268E-07,0.00013843,16.054,6.326E-06,9.1785,0,0,0,0,0,0,package://steerbot/meshes/rear_right_wheel.STL,0.29412,0.29412,0.29412,1,0,0,0,0,0,0,package://steerbot/meshes/rear_right_wheel.STL,,车轮-3,坐标系rrw,基准轴rrw,rear_right_wheel_bearing,continuous,-0.066574,-0.345,0.082357,0,0,0,rear_right_strut,0,1,0,,,,,,,,,,,,
